"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"Angola";"Mato Grosso do Sul";"2011";"Julho";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Agosto";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Setembro";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Outubro";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Novembro";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Dezembro";"0"
"África";"Angola";"Minas Gerais";"2011";"Janeiro";"0"
"África";"Angola";"Minas Gerais";"2011";"Fevereiro";"1"
"África";"Angola";"Minas Gerais";"2011";"Março";"1"
"África";"Angola";"Minas Gerais";"2011";"Abril";"26"
"África";"Angola";"Minas Gerais";"2011";"Maio";"0"
"África";"Angola";"Minas Gerais";"2011";"Junho";"4"
"África";"Angola";"Minas Gerais";"2011";"Julho";"1"
"África";"Angola";"Minas Gerais";"2011";"Agosto";"0"
"África";"Angola";"Minas Gerais";"2011";"Setembro";"1"
"África";"Angola";"Minas Gerais";"2011";"Outubro";"4"
"África";"Angola";"Minas Gerais";"2011";"Novembro";"0"
"África";"Angola";"Minas Gerais";"2011";"Dezembro";"1"
"África";"Angola";"Pará";"2011";"Janeiro";"0"
"África";"Angola";"Pará";"2011";"Fevereiro";"0"
"África";"Angola";"Pará";"2011";"Março";"0"
"África";"Angola";"Pará";"2011";"Abril";"0"
"África";"Angola";"Pará";"2011";"Maio";"0"
"África";"Angola";"Pará";"2011";"Junho";"0"
"África";"Angola";"Pará";"2011";"Julho";"3"
"África";"Angola";"Pará";"2011";"Agosto";"0"
"África";"Angola";"Pará";"2011";"Setembro";"0"
"África";"Angola";"Pará";"2011";"Outubro";"0"
"África";"Angola";"Pará";"2011";"Novembro";"0"
"África";"Angola";"Pará";"2011";"Dezembro";"0"
"África";"Angola";"Paraná";"2011";"Janeiro";"2"
"África";"Angola";"Paraná";"2011";"Fevereiro";"3"
"África";"Angola";"Paraná";"2011";"Março";"1"
"África";"Angola";"Paraná";"2011";"Abril";"1"
"África";"Angola";"Paraná";"2011";"Maio";"1"
"África";"Angola";"Paraná";"2011";"Junho";"0"
"África";"Angola";"Paraná";"2011";"Julho";"13"
"África";"Angola";"Paraná";"2011";"Agosto";"8"
"África";"Angola";"Paraná";"2011";"Setembro";"1"
"África";"Angola";"Paraná";"2011";"Outubro";"2"
"África";"Angola";"Paraná";"2011";"Novembro";"0"
"África";"Angola";"Paraná";"2011";"Dezembro";"1"
"África";"Angola";"Pernambuco";"2011";"Janeiro";"0"
"África";"Angola";"Pernambuco";"2011";"Fevereiro";"0"
"África";"Angola";"Pernambuco";"2011";"Março";"1"
"África";"Angola";"Pernambuco";"2011";"Abril";"5"
"África";"Angola";"Pernambuco";"2011";"Maio";"1"
"África";"Angola";"Pernambuco";"2011";"Junho";"1"
"África";"Angola";"Pernambuco";"2011";"Julho";"1"
"África";"Angola";"Pernambuco";"2011";"Agosto";"4"
"África";"Angola";"Pernambuco";"2011";"Setembro";"7"
"África";"Angola";"Pernambuco";"2011";"Outubro";"0"
"África";"Angola";"Pernambuco";"2011";"Novembro";"4"
"África";"Angola";"Pernambuco";"2011";"Dezembro";"9"
"África";"Angola";"Rio de Janeiro";"2011";"Janeiro";"1.452"
"África";"Angola";"Rio de Janeiro";"2011";"Fevereiro";"893"
"África";"Angola";"Rio de Janeiro";"2011";"Março";"974"
"África";"Angola";"Rio de Janeiro";"2011";"Abril";"898"
"África";"Angola";"Rio de Janeiro";"2011";"Maio";"1.097"
"África";"Angola";"Rio de Janeiro";"2011";"Junho";"827"
"África";"Angola";"Rio de Janeiro";"2011";"Julho";"882"
"África";"Angola";"Rio de Janeiro";"2011";"Agosto";"992"
"África";"Angola";"Rio de Janeiro";"2011";"Setembro";"1.146"
"África";"Angola";"Rio de Janeiro";"2011";"Outubro";"1.155"
"África";"Angola";"Rio de Janeiro";"2011";"Novembro";"995"
"África";"Angola";"Rio de Janeiro";"2011";"Dezembro";"1.370"
"África";"Angola";"Rio Grande do Norte";"2011";"Janeiro";"0"
"África";"Angola";"Rio Grande do Norte";"2011";"Fevereiro";"0"
"África";"Angola";"Rio Grande do Norte";"2011";"Março";"1"
"África";"Angola";"Rio Grande do Norte";"2011";"Abril";"0"
"África";"Angola";"Rio Grande do Norte";"2011";"Maio";"0"
"África";"Angola";"Rio Grande do Norte";"2011";"Junho";"0"
"África";"Angola";"Rio Grande do Norte";"2011";"Julho";"1"
"África";"Angola";"Rio Grande do Norte";"2011";"Agosto";"0"
"África";"Angola";"Rio Grande do Norte";"2011";"Setembro";"0"
"África";"Angola";"Rio Grande do Norte";"2011";"Outubro";"0"
"África";"Angola";"Rio Grande do Norte";"2011";"Novembro";"4"
"África";"Angola";"Rio Grande do Norte";"2011";"Dezembro";"2"
"África";"Angola";"Rio Grande do Sul";"2011";"Janeiro";"0"
"África";"Angola";"Rio Grande do Sul";"2011";"Fevereiro";"0"
"África";"Angola";"Rio Grande do Sul";"2011";"Março";"0"
"África";"Angola";"Rio Grande do Sul";"2011";"Abril";"0"
"África";"Angola";"Rio Grande do Sul";"2011";"Maio";"1"
"África";"Angola";"Rio Grande do Sul";"2011";"Junho";"0"
"África";"Angola";"Rio Grande do Sul";"2011";"Julho";"0"
"África";"Angola";"Rio Grande do Sul";"2011";"Agosto";"5"
"África";"Angola";"Rio Grande do Sul";"2011";"Setembro";"1"
"África";"Angola";"Rio Grande do Sul";"2011";"Outubro";"2"
"África";"Angola";"Rio Grande do Sul";"2011";"Novembro";"0"
"África";"Angola";"Rio Grande do Sul";"2011";"Dezembro";"0"
"África";"Angola";"Santa Catarina";"2011";"Janeiro";"4"
"África";"Angola";"Santa Catarina";"2011";"Fevereiro";"1"
"África";"Angola";"Santa Catarina";"2011";"Março";"0"
"África";"Angola";"Santa Catarina";"2011";"Abril";"0"
"África";"Angola";"Santa Catarina";"2011";"Maio";"0"
"África";"Angola";"Santa Catarina";"2011";"Junho";"0"
"África";"Angola";"Santa Catarina";"2011";"Julho";"0"
"África";"Angola";"Santa Catarina";"2011";"Agosto";"0"
"África";"Angola";"Santa Catarina";"2011";"Setembro";"0"
"África";"Angola";"Santa Catarina";"2011";"Outubro";"0"
"África";"Angola";"Santa Catarina";"2011";"Novembro";"0"
"África";"Angola";"Santa Catarina";"2011";"Dezembro";"0"
"África";"Angola";"São Paulo";"2011";"Janeiro";"2.420"
"África";"Angola";"São Paulo";"2011";"Fevereiro";"1.797"
"África";"Angola";"São Paulo";"2011";"Março";"1.804"
"África";"Angola";"São Paulo";"2011";"Abril";"1.923"
"África";"Angola";"São Paulo";"2011";"Maio";"2.092"
"África";"Angola";"São Paulo";"2011";"Junho";"1.716"
"África";"Angola";"São Paulo";"2011";"Julho";"1.668"
"África";"Angola";"São Paulo";"2011";"Agosto";"2.096"
"África";"Angola";"São Paulo";"2011";"Setembro";"1.605"
"África";"Angola";"São Paulo";"2011";"Outubro";"2.267"
"África";"Angola";"São Paulo";"2011";"Novembro";"2.710"
"África";"Angola";"São Paulo";"2011";"Dezembro";"2.152"
"África";"Angola";"Outras Unidades da Federação";"2011";"Janeiro";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Fevereiro";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Março";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Abril";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Maio";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Junho";"1"
"África";"Angola";"Outras Unidades da Federação";"2011";"Julho";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Agosto";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Setembro";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Outubro";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Novembro";"0"
"África";"Angola";"Outras Unidades da Federação";"2011";"Dezembro";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Janeiro";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Fevereiro";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Março";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Abril";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Maio";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Junho";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Julho";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Agosto";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Setembro";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Outubro";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Novembro";"0"
"África";"Cabo Verde";"Amazonas";"2011";"Dezembro";"0"
"África";"Cabo Verde";"Bahia";"2011";"Janeiro";"1"
"África";"Cabo Verde";"Bahia";"2011";"Fevereiro";"1"
"África";"Cabo Verde";"Bahia";"2011";"Março";"0"
"África";"Cabo Verde";"Bahia";"2011";"Abril";"1"
"África";"Cabo Verde";"Bahia";"2011";"Maio";"0"
"África";"Cabo Verde";"Bahia";"2011";"Junho";"5"
"África";"Cabo Verde";"Bahia";"2011";"Julho";"0"
"África";"Cabo Verde";"Bahia";"2011";"Agosto";"1"
"África";"Cabo Verde";"Bahia";"2011";"Setembro";"2"
"África";"Cabo Verde";"Bahia";"2011";"Outubro";"1"
"África";"Cabo Verde";"Bahia";"2011";"Novembro";"10"
"África";"Cabo Verde";"Bahia";"2011";"Dezembro";"1"
"África";"Cabo Verde";"Ceará";"2011";"Janeiro";"91"
"África";"Cabo Verde";"Ceará";"2011";"Fevereiro";"167"
"África";"Cabo Verde";"Ceará";"2011";"Março";"175"
"África";"Cabo Verde";"Ceará";"2011";"Abril";"148"
"África";"Cabo Verde";"Ceará";"2011";"Maio";"154"
"África";"Cabo Verde";"Ceará";"2011";"Junho";"117"
"África";"Cabo Verde";"Ceará";"2011";"Julho";"311"
"África";"Cabo Verde";"Ceará";"2011";"Agosto";"286"
"África";"Cabo Verde";"Ceará";"2011";"Setembro";"160"
"África";"Cabo Verde";"Ceará";"2011";"Outubro";"140"
"África";"Cabo Verde";"Ceará";"2011";"Novembro";"223"
"África";"Cabo Verde";"Ceará";"2011";"Dezembro";"145"
"África";"Cabo Verde";"Distrito Federal";"2011";"Janeiro";"1"
"África";"Cabo Verde";"Distrito Federal";"2011";"Fevereiro";"1"
"África";"Cabo Verde";"Distrito Federal";"2011";"Março";"0"
"África";"Cabo Verde";"Distrito Federal";"2011";"Abril";"11"
